Registro,Run,Tarea,Beta_C3,Beta_C4,Beta_Cz,Mu_C3,Mu_C4,Mu_Cz,Condicion
sub_16,7,Movimiento Real Mano,4.9303210183136395e-12,4.369917957893858e-12,4.9565733199531215e-12,1.7703412956351647e-11,1.4068713191086055e-11,1.9061369533960684e-11,Mano Derecha
sub_16,8,Imaginería Motora Mano,4.0276664572718255e-12,3.686224744080998e-12,4.193824358443913e-12,1.9828870049255715e-11,1.7265678561094463e-11,2.2708788009831122e-11,Mano Derecha
sub_17,11,Movimiento Real Mano,2.033981917622848e-11,2.3343401831773868e-11,1.2908357684598116e-11,5.276094542876005e-11,4.7233704447280365e-11,5.6033296554207555e-11,Mano Derecha
sub_17,12,Imaginería Motora Mano,4.833273430151845e-11,3.2339925499793793e-11,1.7848474942409476e-11,8.162520211199148e-11,5.893687866519571e-11,7.322809741468394e-11,Mano Derecha
sub_17,3,Movimiento Real Mano,1.6506385844421503e-11,9.139392588686504e-12,8.93013575431709e-12,2.4413895854978944e-11,1.835425593806885e-11,2.332882529258828e-11,Mano Derecha
sub_17,4,Imaginería Motora Mano,2.346327603964754e-11,1.0891743655447195e-11,1.148388903136018e-11,2.9453488232654554e-11,2.2710094912852666e-11,2.8313710606697333e-11,Mano Derecha
sub_17,7,Movimiento Real Mano,2.0392988885877756e-11,1.5763941148691175e-11,1.3190876460789187e-11,4.712106865036595e-11,4.1843307010604446e-11,4.578913712196991e-11,Mano Derecha
sub_17,8,Imaginería Motora Mano,2.8636472386141936e-11,1.8212901633657264e-11,1.3838353825273296e-11,4.908898873001507e-11,4.1700779525033584e-11,4.919586109831017e-11,Mano Derecha
sub_18,11,Movimiento Real Mano,1.1304017689773359e-12,1.1244015039883135e-12,1.1478384387937767e-12,1.7271668295611835e-12,1.6351840220618411e-12,1.9639183247068725e-12,Mano Derecha
sub_18,12,Imaginería Motora Mano,1.010991511946499e-12,9.67277309206614e-13,9.713129711935052e-13,1.5910248663629815e-12,1.4032615800724033e-12,1.688575270216588e-12,Mano Derecha
sub_18,3,Movimiento Real Mano,7.772333240811774e-13,6.561396126012152e-13,7.131591125900811e-13,1.992283124312874e-12,1.7474227650965715e-12,2.0166589954229635e-12,Mano Derecha
sub_18,4,Imaginería Motora Mano,7.169394131339385e-13,6.586659882635438e-13,6.894893007490431e-13,1.7249014859878202e-12,1.5430192001861332e-12,1.8759082103797564e-12,Mano Derecha
sub_18,7,Movimiento Real Mano,9.446644035411538e-13,8.642093369747318e-13,9.224074251227572e-13,1.8126238037657425e-12,1.466133047152532e-12,1.787597318026255e-12,Mano Derecha
sub_18,8,Imaginería Motora Mano,7.990249509921277e-13,8.142435930724176e-13,8.079055732547556e-13,1.4579685200718547e-12,1.3535353389787554e-12,1.5550026199894312e-12,Mano Derecha
sub_19,11,Movimiento Real Mano,1.1738383545461021e-11,9.942590340267504e-12,1.1280195637729803e-11,3.0681923750605404e-11,2.0421722460324678e-11,2.922857921714254e-11,Mano Derecha
sub_19,12,Imaginería Motora Mano,1.1844690172589098e-11,1.0087490888735223e-11,1.0903046340822903e-11,3.867090269784223e-11,2.550215664234076e-11,3.603883584020075e-11,Mano Derecha
sub_19,3,Movimiento Real Mano,9.176639142631268e-12,7.659300702680892e-12,8.664987929430044e-12,1.9441327228736287e-11,1.590735282390793e-11,1.8830518670274166e-11,Mano Derecha
sub_19,4,Imaginería Motora Mano,9.68451453166e-12,8.84384061159937e-12,9.753986545107893e-12,2.756648236682583e-11,1.7979309119106138e-11,2.5127663308795172e-11,Mano Derecha
sub_19,7,Movimiento Real Mano,1.3123314140932817e-11,1.1105601231671497e-11,1.2682745201786334e-11,3.629499790775612e-11,2.2254736758479483e-11,3.133761806588812e-11,Mano Derecha
sub_19,8,Imaginería Motora Mano,1.0771289346022764e-11,9.706996137329946e-12,1.007536112329535e-11,2.975796084877749e-11,2.44999490189289e-11,3.040515552064335e-11,Mano Derecha
sub_2,11,Movimiento Real Mano,6.788629685446233e-12,3.758574853064194e-12,7.955393719768193e-12,1.054675294363744e-11,8.846087082431503e-12,1.3468796416335243e-11,Mano Derecha
sub_2,12,Imaginería Motora Mano,5.754774238968935e-12,3.1349815118773775e-12,7.0325256257403085e-12,1.1610046071499067e-11,8.571534858461776e-12,1.3610440836581222e-11,Mano Derecha
sub_2,3,Movimiento Real Mano,5.4362932644801685e-12,3.874403287697696e-12,7.529263992878489e-12,1.1764111232526643e-11,9.54743160537808e-12,1.2879059243084767e-11,Mano Derecha
sub_2,4,Imaginería Motora Mano,4.562873947207603e-12,2.9668762719095565e-12,6.7943968587243e-12,9.856213359841086e-12,7.1522523283475204e-12,1.1207536107009328e-11,Mano Derecha
sub_2,7,Movimiento Real Mano,5.09545866173165e-12,3.5119939662399515e-12,7.707966242658398e-12,1.0724260175748008e-11,7.616549791791828e-12,1.2108100174763008e-11,Mano Derecha
sub_2,8,Imaginería Motora Mano,4.433098963059805e-12,3.574816050282763e-12,7.76608932445504e-12,1.110107590518981e-11,9.136976403183262e-12,1.5121380241804552e-11,Mano Derecha
sub_20,11,Movimiento Real Mano,5.918988193146416e-13,4.3401438214355236e-13,5.826984740317222e-13,1.6178975689185068e-12,1.1108164612843944e-12,1.7319597889900563e-12,Mano Derecha
sub_20,12,Imaginería Motora Mano,6.81077854549917e-13,5.815561924649309e-13,6.64279429063268e-13,2.0603188320000292e-12,1.5859953852954597e-12,2.305394056771749e-12,Mano Derecha
sub_20,3,Movimiento Real Mano,6.33494321598159e-13,4.521223978731395e-13,6.218476777211344e-13,1.6643868647808412e-12,1.174885867176594e-12,1.7452861061844075e-12,Mano Derecha
sub_20,4,Imaginería Motora Mano,6.229031748052486e-13,4.189172839107967e-13,6.268410265645651e-13,1.843802540737231e-12,1.145568560594626e-12,1.8635805710359004e-12,Mano Derecha
sub_20,7,Movimiento Real Mano,5.636329711982965e-13,3.5022897300459775e-13,5.534724053781755e-13,1.7191417032565439e-12,1.1516479814322957e-12,1.860337004661635e-12,Mano Derecha
sub_20,8,Imaginería Motora Mano,5.381551782909531e-13,3.827619702478461e-13,5.77834754760366e-13,2.117382450614878e-12,1.4380109553597931e-12,2.4358636437458063e-12,Mano Derecha
sub_3,11,Movimiento Real Mano,8.932554682850148e-12,7.82921499156929e-12,8.129596735863768e-12,4.015864524370532e-11,4.368955329081176e-11,4.537077701027571e-11,Mano Derecha
sub_3,12,Imaginería Motora Mano,1.468714764233311e-11,1.2416872303325843e-11,1.3828438414962433e-11,3.696105416904079e-11,3.333794546185024e-11,3.931532663406918e-11,Mano Derecha
sub_3,3,Movimiento Real Mano,1.2398285195229353e-11,1.0823485776519055e-11,1.112542697941126e-11,3.862148229616383e-11,3.323818239351227e-11,4.172669352814464e-11,Mano Derecha
sub_3,4,Imaginería Motora Mano,1.9852350341427726e-11,1.6861514228086034e-11,1.8025271830454876e-11,4.3454722490692045e-11,3.8949642622727614e-11,4.3064263950627654e-11,Mano Derecha
sub_3,7,Movimiento Real Mano,9.467106144783864e-12,9.364025790637184e-12,9.1691422451268e-12,5.160605024687748e-11,4.829721870941456e-11,5.895006282646709e-11,Mano Derecha
sub_3,8,Imaginería Motora Mano,8.195413949637477e-12,8.420644875929631e-12,7.710971554731024e-12,4.043173806084229e-11,4.493635333786852e-11,4.893234014844908e-11,Mano Derecha
sub_4,11,Movimiento Real Mano,2.359041333627767e-12,1.7776257433925622e-12,2.5685412622692095e-12,4.333756427115767e-12,3.785579716526542e-12,4.160739793083735e-12,Mano Derecha
sub_4,12,Imaginería Motora Mano,2.287907752430256e-12,1.7849407106209377e-12,2.3642570913302645e-12,3.873305893909663e-12,3.2243014314165094e-12,3.858962345362042e-12,Mano Derecha
sub_4,3,Movimiento Real Mano,2.1658043454527265e-12,1.5935199399906685e-12,2.259696174040193e-12,4.473393141290125e-12,3.8797564095431936e-12,4.2976148357723564e-12,Mano Derecha
sub_4,4,Imaginería Motora Mano,2.873777345070087e-12,2.901380471642999e-12,2.71025374873026e-12,5.3770672117207e-12,4.890840716590738e-12,5.3452488892732675e-12,Mano Derecha
sub_4,7,Movimiento Real Mano,2.3931021273987882e-12,1.9211010315058904e-12,2.6033629733649544e-12,4.9802711289651904e-12,4.371449788250489e-12,5.055007119692682e-12,Mano Derecha
sub_4,8,Imaginería Motora Mano,2.418258854871659e-12,2.249364741712618e-12,2.539412705290004e-12,5.042990858759458e-12,3.98287843725992e-12,4.698795310975272e-12,Mano Derecha
sub_5,11,Movimiento Real Mano,3.051870327434039e-12,2.5807984830653716e-12,3.082037387238055e-12,8.199927774354955e-12,6.663207079449989e-12,9.491298875118733e-12,Mano Derecha
sub_5,12,Imaginería Motora Mano,2.434830533502177e-12,2.475468504430768e-12,2.5573577415396733e-12,8.086677823810894e-12,6.553355693698577e-12,9.012404438594128e-12,Mano Derecha
sub_5,3,Movimiento Real Mano,2.4633949217224762e-12,2.0102143357507366e-12,2.1728046290529637e-12,6.2684653628360005e-12,5.090991505049401e-12,7.497783142999997e-12,Mano Derecha
sub_5,4,Imaginería Motora Mano,1.9680916107274526e-12,1.9023486046157347e-12,1.9791708325660785e-12,7.32461220397282e-12,5.2780306246761546e-12,8.629604187476327e-12,Mano Derecha
sub_5,7,Movimiento Real Mano,2.6210258252948412e-12,2.193011335434575e-12,2.3185541382920872e-12,7.965612464625855e-12,6.650966003214384e-12,9.550981206518897e-12,Mano Derecha
sub_5,8,Imaginería Motora Mano,2.6929765643531703e-12,1.9893668635358965e-12,2.30366690022558e-12,8.25563157914934e-12,6.6183308250633324e-12,9.842918236653327e-12,Mano Derecha
sub_6,11,Movimiento Real Mano,8.133977645624829e-12,5.474920981304603e-12,5.0922602995899225e-12,6.644525480694313e-12,5.1471098609286805e-12,4.967853492668081e-12,Mano Derecha
sub_6,12,Imaginería Motora Mano,5.426747305833002e-12,4.158013755796361e-12,4.098347499418126e-12,4.9537652799599465e-12,3.5900351512790106e-12,4.1272255776075276e-12,Mano Derecha
sub_6,3,Movimiento Real Mano,2.83452245670206e-12,2.01331755705222e-12,2.269624328309113e-12,4.366176556458832e-12,3.0792014820188348e-12,3.894590657972134e-12,Mano Derecha
sub_6,4,Imaginería Motora Mano,2.3865920255120323e-12,1.9845131851189212e-12,1.8699768192456707e-12,3.901906880691309e-12,2.898753386746326e-12,3.655662289821754e-12,Mano Derecha
sub_6,7,Movimiento Real Mano,6.737765831640133e-12,4.645422201997601e-12,3.954828283017285e-12,5.220576637771229e-12,4.030905840582038e-12,4.32970684939247e-12,Mano Derecha
sub_6,8,Imaginería Motora Mano,5.685086891948157e-12,4.4140473755229674e-12,4.56826262665045e-12,6.297669197358038e-12,5.237684498368215e-12,5.224912198225184e-12,Mano Derecha
sub_7,11,Movimiento Real Mano,5.831286000884599e-12,4.1508211874144475e-12,4.729125300055598e-12,4.1588816581663025e-11,3.127654618902161e-11,4.160389603569366e-11,Mano Derecha
sub_7,12,Imaginería Motora Mano,6.344889210996344e-12,4.328342326531704e-12,5.388863203689383e-12,4.6755060003193415e-11,3.846972681710423e-11,5.059255830765012e-11,Mano Derecha
sub_7,3,Movimiento Real Mano,4.941116739977672e-12,3.952027279447992e-12,4.3209209612699314e-12,2.349415321027505e-11,2.2889683965074722e-11,2.7996833329268123e-11,Mano Derecha
sub_7,4,Imaginería Motora Mano,6.032899535563371e-12,3.986219701246782e-12,4.612487063808662e-12,3.502616658797193e-11,2.6957751358159166e-11,3.6883388602822474e-11,Mano Derecha
sub_7,7,Movimiento Real Mano,6.3718177640800896e-12,4.220343234072149e-12,5.207824943030014e-12,4.458701312407724e-11,3.637459986371224e-11,5.0205166954649004e-11,Mano Derecha
sub_7,8,Imaginería Motora Mano,5.751849301407856e-12,3.929275808599617e-12,4.836405648320277e-12,4.21675240946298e-11,3.0670534486171056e-11,4.169812832359246e-11,Mano Derecha
sub_8,11,Movimiento Real Mano,2.4974700696883464e-12,2.326702320791891e-12,2.515739431689277e-12,1.2999372452698152e-11,1.1912927262955257e-11,1.348087228650571e-11,Mano Derecha
sub_8,12,Imaginería Motora Mano,2.953089903190194e-12,2.5317958070004757e-12,2.8509204635771632e-12,1.6028867393048995e-11,1.635863409839436e-11,1.9269351667484986e-11,Mano Derecha
sub_8,3,Movimiento Real Mano,3.001655416840857e-12,2.7510838107107152e-12,2.811312541629803e-12,1.0328602651834558e-11,1.0096730894609155e-11,1.2784808028326055e-11,Mano Derecha
sub_8,4,Imaginería Motora Mano,2.5038415297401145e-12,2.405066761345729e-12,2.4085553759186767e-12,1.165767409901527e-11,1.1407400244457778e-11,1.3840867404241255e-11,Mano Derecha
sub_8,7,Movimiento Real Mano,2.542687391227707e-12,2.294673898318706e-12,2.509427778487457e-12,1.5418767750731814e-11,1.5324139866833622e-11,1.7853941801651304e-11,Mano Derecha
sub_8,8,Imaginería Motora Mano,2.6254324250840366e-12,2.359955711616557e-12,2.550967268539602e-12,1.3587519513682068e-11,1.3904701199672284e-11,1.5618248998949872e-11,Mano Derecha
sub_9,11,Movimiento Real Mano,1.43028915604114e-11,1.279385256861361e-11,1.2329629478774883e-11,3.257912189455013e-11,2.8456800329114298e-11,3.582926692724715e-11,Mano Derecha
sub_9,12,Imaginería Motora Mano,1.3672722576809104e-11,1.4037055300662858e-11,1.1486828038833695e-11,3.250715661214959e-11,2.8325336535101128e-11,3.764054906022027e-11,Mano Derecha
sub_9,3,Movimiento Real Mano,2.489715788734733e-11,3.622949858355499e-11,1.6599352236925815e-11,3.393782853378471e-11,2.9172885783123945e-11,3.4332895310160563e-11,Mano Derecha
sub_9,4,Imaginería Motora Mano,2.025733806424206e-11,1.7283390248747905e-11,1.3277417560509621e-11,4.505468375524184e-11,3.653381906736659e-11,4.7205822477778555e-11,Mano Derecha
sub_9,7,Movimiento Real Mano,1.5250494200796165e-11,1.536169742286621e-11,1.2564636844837438e-11,3.4384151090643777e-11,3.1760861267336904e-11,3.9189477585473647e-11,Mano Derecha
sub_9,8,Imaginería Motora Mano,1.520501809463255e-11,2.4970631271657068e-11,1.388795652563681e-11,3.287133151724219e-11,3.105479985829855e-11,3.795662392763268e-11,Mano Derecha
